domain,C1,C1_values,C1_cntbl,C1_sense,C1_detailed,C2,C2_values,C2_cntbl,C2_sense,C2_detailed,E,E_values,E_cntbl,E_sense,E_detailed,cntbl_cond,task,query_node,observation,query,graph,prompt,prompt_category,id
xqt,fwp,1,p,high,,blg,1,p,small,,drk,1,p,large,,ppp,a,C1=1,"E=1, C2=1","p(C1=1|E=1, C2=1)",collider,"high fwp causes large drk. Also, small blg causes large drk. Now suppose you observe the following: large drk, small blg. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is high fwp? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,1
xqt,fwp,1,p,high,,blg,1,p,small,,drk,1,p,large,,ppp,a,C2=1,"E=1, C1=1","p(C2=1|E=1, C1=1)",collider,"high fwp causes large drk. Also, small blg causes large drk. Now suppose you observe the following: large drk, high fwp. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is small blg? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,2
xqt,fwp,1,p,high,,blg,1,p,small,,drk,1,p,large,,ppp,b,C1=1,E=1,p(C1=1|E=1),collider,"high fwp causes large drk. Also, small blg causes large drk. Now suppose you observe the following: large drk. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is high fwp? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,3
xqt,fwp,1,p,high,,blg,1,p,small,,drk,1,p,large,,ppp,b,C2=1,E=1,p(C2=1|E=1),collider,"high fwp causes large drk. Also, small blg causes large drk. Now suppose you observe the following: large drk. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is small blg? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,4
xqt,fwp,1,p,high,,blg,1,p,small,,drk,1,p,large,,ppp,c,C1=1,"E=1, C2=0","p(C1=1|E=1, C2=0)",collider,"high fwp causes large drk. Also, small blg causes large drk. Now suppose you observe the following: large drk, large blg. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is high fwp? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,5
xqt,fwp,1,p,high,,blg,1,p,small,,drk,1,p,large,,ppp,c,C2=1,"E=1, C1=0","p(C2=1|E=1, C1=0)",collider,"high fwp causes large drk. Also, small blg causes large drk. Now suppose you observe the following: large drk, low fwp. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is small blg? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,6
xqt,fwp,1,p,high,,blg,1,p,small,,drk,1,p,large,,ppp,d,C1=1,C2=1,p(C1=1|C2=1),collider,"high fwp causes large drk. Also, small blg causes large drk. Now suppose you observe the following: small blg. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is high fwp? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,7
xqt,fwp,1,p,high,,blg,1,p,small,,drk,1,p,large,,ppp,d,C2=1,C1=1,p(C2=1|C1=1),collider,"high fwp causes large drk. Also, small blg causes large drk. Now suppose you observe the following: high fwp. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is small blg? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,8
xqt,fwp,1,p,high,,blg,1,p,small,,drk,1,p,large,,ppp,e,C1=1,C2=0,p(C1=1|C2=0),collider,"high fwp causes large drk. Also, small blg causes large drk. Now suppose you observe the following: large blg. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is high fwp? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,9
xqt,fwp,1,p,high,,blg,1,p,small,,drk,1,p,large,,ppp,e,C2=1,C1=0,p(C2=1|C1=0),collider,"high fwp causes large drk. Also, small blg causes large drk. Now suppose you observe the following: low fwp. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is small blg? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,10
