id,response,prompt_category,graph,cntbl_cond,subject,temperature
1,100,single_numeric_response,collider,ppp,gemini-1.5-pro,1.0
2,100,single_numeric_response,collider,ppp,gemini-1.5-pro,1.0
3,75,single_numeric_response,collider,ppp,gemini-1.5-pro,1.0
4,50,single_numeric_response,collider,ppp,gemini-1.5-pro,1.0
5,0,single_numeric_response,collider,ppp,gemini-1.5-pro,1.0
6,0,single_numeric_response,collider,ppp,gemini-1.5-pro,1.0
7,50,single_numeric_response,collider,ppp,gemini-1.5-pro,1.0
8,50,single_numeric_response,collider,ppp,gemini-1.5-pro,1.0
9,50,single_numeric_response,collider,ppp,gemini-1.5-pro,1.0
10,50,single_numeric_response,collider,ppp,gemini-1.5-pro,1.0
11,0,single_numeric_response,collider,ppp,gemini-1.5-pro,1.0
12,0,single_numeric_response,collider,ppp,gemini-1.5-pro,1.0
13,0,single_numeric_response,collider,ppp,gemini-1.5-pro,1.0
14,0,single_numeric_response,collider,ppp,gemini-1.5-pro,1.0
15,0,single_numeric_response,collider,ppp,gemini-1.5-pro,1.0
16,0,single_numeric_response,collider,ppp,gemini-1.5-pro,1.0
17,0,single_numeric_response,collider,ppp,gemini-1.5-pro,1.0
18,50,single_numeric_response,collider,ppp,gemini-1.5-pro,1.0
19,100,single_numeric_response,collider,ppp,gemini-1.5-pro,1.0
20,100,single_numeric_response,collider,ppp,gemini-1.5-pro,1.0
61,0,single_numeric_response,collider,pmm,gemini-1.5-pro,1.0
62,100,single_numeric_response,collider,pmm,gemini-1.5-pro,1.0
63,0,single_numeric_response,collider,pmm,gemini-1.5-pro,1.0
64,100,single_numeric_response,collider,pmm,gemini-1.5-pro,1.0
65,0,single_numeric_response,collider,pmm,gemini-1.5-pro,1.0
66,100,single_numeric_response,collider,pmm,gemini-1.5-pro,1.0
67,50,single_numeric_response,collider,pmm,gemini-1.5-pro,1.0
68,50,single_numeric_response,collider,pmm,gemini-1.5-pro,1.0
69,50,single_numeric_response,collider,pmm,gemini-1.5-pro,1.0
70,50,single_numeric_response,collider,pmm,gemini-1.5-pro,1.0
71,0,single_numeric_response,collider,pmm,gemini-1.5-pro,1.0
