id,response,prompt_category,graph,cntbl_cond,subject,temperature
1,100,single_numeric_response,collider,ppp,gemini-1.5-pro,0.7
2,100,single_numeric_response,collider,ppp,gemini-1.5-pro,0.7
3,75,single_numeric_response,collider,ppp,gemini-1.5-pro,0.7
4,75,single_numeric_response,collider,ppp,gemini-1.5-pro,0.7
5,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.7
6,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.7
7,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.7
8,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.7
9,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.7
10,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.7
11,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.7
12,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.7
13,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.7
14,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.7
15,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.7
16,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.7
17,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.7
18,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.7
19,100,single_numeric_response,collider,ppp,gemini-1.5-pro,0.7
20,100,single_numeric_response,collider,ppp,gemini-1.5-pro,0.7
61,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.7
62,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.7
63,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.7
64,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.7
65,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.7
66,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.7
67,50,single_numeric_response,collider,pmm,gemini-1.5-pro,0.7
68,50,single_numeric_response,collider,pmm,gemini-1.5-pro,0.7
69,50,single_numeric_response,collider,pmm,gemini-1.5-pro,0.7
70,50,single_numeric_response,collider,pmm,gemini-1.5-pro,0.7
71,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.7
72,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.7
73,75,single_numeric_response,collider,pmm,gemini-1.5-pro,0.7
74,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.7
