id,response,prompt_category,graph,cntbl_cond,subject,temperature
1,100,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
2,100,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
3,75,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
4,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
5,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
6,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
7,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
8,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
9,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
10,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
11,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
12,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
13,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
14,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
15,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
16,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
17,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
18,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
19,100,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
20,100,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
61,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.5
62,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.5
63,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.5
64,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.5
65,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.5
66,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.5
67,50,single_numeric_response,collider,pmm,gemini-1.5-pro,0.5
68,50,single_numeric_response,collider,pmm,gemini-1.5-pro,0.5
69,50,single_numeric_response,collider,pmm,gemini-1.5-pro,0.5
70,50,single_numeric_response,collider,pmm,gemini-1.5-pro,0.5
71,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.5
72,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.5
73,75,single_numeric_response,collider,pmm,gemini-1.5-pro,0.5
74,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.5
75,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.5
76,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.5
77,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.5
78,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.5
79,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.5
80,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.5
101,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.5
102,0,single_numeric_response,collider,mpm,gemini-1.5-pro,0.5
103,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.5
104,0,single_numeric_response,collider,mpm,gemini-1.5-pro,0.5
105,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.5
106,0,single_numeric_response,collider,mpm,gemini-1.5-pro,0.5
107,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.5
108,50,single_numeric_response,collider,mpm,gemini-1.5-pro,0.5
109,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.5
110,50,single_numeric_response,collider,mpm,gemini-1.5-pro,0.5
111,0,single_numeric_response,collider,mpm,gemini-1.5-pro,0.5
112,0,single_numeric_response,collider,mpm,gemini-1.5-pro,0.5
113,0,single_numeric_response,collider,mpm,gemini-1.5-pro,0.5
114,50,single_numeric_response,collider,mpm,gemini-1.5-pro,0.5
115,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.5
116,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.5
117,0,single_numeric_response,collider,mpm,gemini-1.5-pro,0.5
118,0,single_numeric_response,collider,mpm,gemini-1.5-pro,0.5
119,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.5
120,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.5
121,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.5
122,0,single_numeric_response,collider,mmp,gemini-1.5-pro,0.5
123,0,single_numeric_response,collider,mmp,gemini-1.5-pro,0.5
124,0,single_numeric_response,collider,mmp,gemini-1.5-pro,0.5
125,0,single_numeric_response,collider,mmp,gemini-1.5-pro,0.5
126,0,single_numeric_response,collider,mmp,gemini-1.5-pro,0.5
127,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.5
128,50,single_numeric_response,collider,mmp,gemini-1.5-pro,0.5
129,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.5
130,50,single_numeric_response,collider,mmp,gemini-1.5-pro,0.5
131,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.5
132,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.5
133,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.5
134,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.5
135,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.5
136,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.5
137,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.5
138,50,single_numeric_response,collider,mmp,gemini-1.5-pro,0.5
139,50,single_numeric_response,collider,mmp,gemini-1.5-pro,0.5
140,0,single_numeric_response,collider,mmp,gemini-1.5-pro,0.5
161,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
162,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.5
